region,country,total_cases,imported_cases,deaths,case_fatality_rate,notes
Asia,Afghanistan,33.0,0.0,1.0,3.0,
Asia,India,385.0,,3.0,0.7,
Asia,Iran,634.0,625.0,4.0,0.6,
Asia,Yemen,1032481.0,0.0,2261.0,0.2,
Asia,China,14.0,,0.0,0.0,
Asia,Qatar,5.0,5.0,0.0,0.0,
Asia,Malaysia,2.0,0.0,0.0,0.0,
Asia,Nepal,7.0,,0.0,0.0,
Asia,UAE,12.0,12.0,0.0,0.0,
Asia,Saudi Arabia,5.0,5.0,0.0,0.0,
Asia,Singapore,3.0,3.0,0.0,0.0,
Asia,Thailand,8.0,0.0,0.0,0.0,
Asia,Philippines,134.0,,2.0,1.5,
Asia,South Korea,5.0,5.0,0.0,0.0,
Asia,Japan,7.0,5.0,0.0,0.0,
Americas,Haiti,13681.0,0.0,159.0,1.2,
Americas,Dominican Republic,122.0,0.0,4.0,3.3,
Americas,Canada,4.0,3.0,0.0,0.0,
Americas,USA,11.0,9.0,0.0,0.0,
Africa,All countries,179835.0,,3220.0,1.8,no information on imported cases
Europe,All countries,,,,,no reports in 2017
Oceania,Australia,3.0,3.0,0.0,0.0,
World,All countries,1227391.0,675.0,5654.0,0.5,
